,location
"Victorville, CA",19
"Suwanee, GA",19
"Everett, WA",19
"Kuching, Sarawak, Sarawak",19
"Ōsaka, Osaka, Osaka",19
"Sarnia, ON",19
"Walton-on-Thames, England, England",18
"San Carlos, CA",18
"Tukwila, WA",18
"Santa Fe, NM",18
"Waukegan, IL",18
"Prestatyn, Wales, Wales",18
"Thousand Oaks, CA",18
"Chepstow, Wales, Wales",18
"Manassas, VA",18
"Santa Cruz, CA",17
"Saint Cloud, MN",17
"Federal Way, WA",17
"Visalia, CA",17
"Puyallup, WA",17
"Walthamstow, England, England",16
"Paignton, England, England",16
"Waterloo, Walloon Brabant",16
"Scranton, PA",16
"Wayne, PA",16
"Sanford, FL",16
"Salvador, Bahia, Bahia",16
"Tuscaloosa, AL",16
"Normanton, Yorkshire and the Humber, England, England",16
"Winter Park, FL",16
"Bradenton, FL",15
"Huntington, WV",15
"Conway, AR",15
"San Marcos, TX",15
"Saint Peters, MO",15
Blantyre,15
"East Brunswick, NJ",15
"Saint Charles, MO",15
"Neath, Wales, Wales",15
San Salvador,15
"Pontypridd, Wales, Wales",15
"Llantrisant, Rhondda Cynon Taff, Wales, Wales",14
"Newark, CA",14
Sant Cugat del Vallès,14
"Huntington, NY",14
"Yakima, WA",14
Hinjewadi,14
"Pasadena, TX",14
"Pullman, WA",14
"Fort Washington, PA",14
"Warner Robins, GA",14
"Abuja, Federal Capital Territory, Federal Capital Territory",14
"Brantford, ON",14
"Trenton, NJ",14
"Aberdare, Wales, Wales",14
"Germantown, MD",13
"Rockaway, NJ",13
"Canton, MS",13
"Brunswick, GA",13
"Sandy, England, England",13
Rāwalpindi,13
"Atlantic City, NJ",13
"North Atlanta, GA",13
"Delaware, OH",13
"Mentor, OH",13
"Saint Louis Park, MN",13
"Victor, NY",13
Zola Predosa,13
Pyrmont,12
"Norwalk, CA",12
"Newtown, Wales, Wales",12
Saint Helier,12
"Wallsend, England, England",12
"Watertown, NY",12
"Ghent, East Flanders",12
"Clermont, FL",12
"Saint Augustine, FL",12
"Wauwatosa, WI",12
Saggart,12
"Saint Andrews, Scotland, Scotland",11
"Odessa, TX",11
"Mount Pleasant, MI",11
"Saint Joseph, MO",11
"Encinitas, CA",11
"San Clemente, CA",11
"Wallington, London, England, England",11
"Swadlincote, England, England",11
"Midtown Toronto, ON",11
"Pontypool, Wales, Wales",11
Sandyford,11
Muntinlupa,11
"Swanley, England, England",11
"Chippewa Falls, WI",11
Tsuen Wan,11
"Walnut, CA",11
"Waldorf, Rhineland-Palatinate, Rhineland-Palatinate",11
"Port Saint Lucie, FL",11
"Wallingford, England, England",11
"Nantwich, England, England",11
"Aintree, England, England",11
"Hackensack, NJ",11
"Stone Mountain, GA",11
Amritsar,10
"Toronto, OH",10
"Germantown, TN",10
Porto Salvo,10
"Colwyn Bay, Wales, Wales",10
"Montgomery, TX",10
"Waldorf, MD",10
"Wallasey, England, England",10
"Warsaw, IN",10
"Thornton, CO",10
"Llandudno Junction, Wales, Wales",10
"Stillwater, OK",10
"Mount Vernon, IN",10
"Winter Haven, FL",10
"Warrensburg, MO",10
"Den Bosch, North Brabant, North Brabant",10
Denpasar,10
"Westmont, IL",10
Kuwait,10
"Salem, Tamil Nadu, Tamil Nadu",10
"Port Talbot, Wales, Wales",10
"Auburn, WA",10
"Ebbw Vale, Wales, Wales",10
"Manteca, CA",10
"Saint Petersburg Beach, FL",10
"Waterbury, CT",10
"Saint Neots, England, England",10
"Edgware, England, England",10
Peshāwar,9
"Newark, OH",9
"Atlanta, TX",9
"Caernarfon, Wales, Wales",9
"Marysville, WA",9
"Holyhead, Wales, Wales",9
"Salisbury, NC",9
"Warrington, South East England, England, England",9
"Warren, OH",9
"Saddle Brook, NJ",9
"Fort Walton Beach, FL",9
"Edwardsville, IL",9
"El Monte, CA",9
"North Salt Lake, UT",9
"Olsztyn, Warmia-Masuria, Warmia-Masuria",9
"Saffron Walden, England, England",9
"Londonderry County Borough, Northern Ireland, Northern Ireland",9
"Blackwood, Wales, Wales",9
"Brentwood, TN",9
"Wailea, HI",9
"South Seattle, WA",9
"Cornwall, ON",9
"Huntsville, TX",9
"Florissant, MO",9
"Richland, WA",9
"Bremerton, WA",9
"Winter Garden, FL",8
"Stevens Point, WI",8
"Placentia, CA",8
"Warwick, RI",8
Kuantan,8
"Longbenton, England, England",8
"Mount Vernon, NY",8
Montpellier,8
"Opelousas, LA",8
"Wantagh, NY",8
"Dungarvan, Waterford, Waterford",8
"La Mesa, CA",8
"Lacey, WA",8
"Claremont, CA",8
"Kennewick, WA",8
"Sandusky, OH",8
"Clinton, MD",8
"Montville, NJ",8
"Oneonta, NY",8
"Saxonburg, PA",8
"Waltham Cross, England, England",8
"Lewis Center, OH",8
"Boynton Beach, FL",8
"Dana Point, CA",8
"Clintwood, VA",8
"Casa Grande, AZ",8
"Kent, OH",8
"Waikïkï, HI",8
"Rocky Mount, NC",8
"Walkden, England, England",8
"Waynesboro, VA",8
"Sandbach, England, England",8
"Brent, England, England",8
Salalah,8
"Dingwall, Scotland, Scotland",8
"Montrose, Scotland, Scotland",8
"Edmonton, England, England",8
Bukowno Warszawa,8
"Nassau, NY",8
"Magor, Wales, Wales",8
"Wavertree, England, England",8
"Rockwall, TX",8
"Woodinville, WA",8
"Fountain Valley, CA",7
"Sault Ste. Marie, ON",7
"San Francisco, San Jose, San Jose",7
Victoria,7
"South Milwaukee, WI",7
"New Bedfont, England, England",7
"North Canton, OH",7
"Altamonte Springs, FL",7
"Brossard, QC",7
"Santa Rosa, Laguna, Laguna",7
"Spokane Valley, Spokane, WA, Optional[WA]",7
"San Pedro, Laguna, Laguna",7
"Saint Ives, East of England, England, England",7
"Chilliwack, BC",7
"Maple Valley, WA",7
"Lakewood, WA",7
"Huntingdon and Peterborough, England, England",7
"Florianópolis, Santa Catarina, Santa Catarina",7
SAS Nagar,7
"Mold, Wales, Wales",7
"San Marcos, CA",7
"Swinton, North West England, England, England",7
"Clearwater Beach, FL",7
"Chatham-Kent, ON",7
"Brunswick, OH",7
"Mount Airy, NC",7
"Thornton Heath, England, England",7
"Flint, Wales, Wales",7
"Rosario, Santa Fe, Santa Fe",7
"SeaTac, WA",7
"Belfast City Centre, Northern Ireland, Northern Ireland",7
"San Pedro, CA",7
Jakarta Pusat,7
"Grants Pass, OR",7
"Warlingham, England, England",7
"Spanaway, WA",7
"Brecon, Wales, Wales",7
"Winter Springs, FL",7
"Poway, CA",7
"Waterford, MI",7
"Pontiac, MI",7
"San Gabriel, CA",7
"San Rafael, CA",7
"Pleasant Hill, CA",7
"Saint Cloud, FL",7
"Saint Albert, AB",7
"Tauranga, Bay of Plenty",7
"Sandy Springs, Fulton, GA, Optional[GA]",7
"New Toronto, ON",7
"Kladno, Central Bohemian, Central Bohemian",6
"Saint Thomas, VI",6
Tseung Kwan O,6
"Robina, Queensland",6
Causeway Bay,6
"Plant City, FL",6
Sheung Wan,6
"Taunton, MA",6
"Brentwood, CA",6
"Antioch, CA",6
Downtown Core,6
"Wakefield, MA",6
"Brentwood, NY",6
"El Centro, CA",6
"Bellefontaine, OH",6
"Waltham Abbey, England, England",6
Cainta,6
"Mount Clemens, MI",6
"High Blantyre, Scotland, Scotland",6
"Carpentersville, IL",6
"New Century, KS",6
"Ewa Beach, HI",6
"Centreville, VA",6
"Gwalior, Madhya Pradesh, Madhya Pradesh",6
"La Quinta, CA",6
"Rhondda, Wales, Wales",6
Mombasa,6
"Bromont, QC",6
"Waycross, GA",6
"San Angelo, TX",6
"Watton, East of England, England, England",6
"Tumwater, WA",6
"Clementi New Town, ",6
Wagga Wagga,6
"Warrenville, IL",6
"Monroe, WA",6
"Itasca, IL",6
"Seattle Heights, WA",6
Kfar Saba,6
"San Francisco, NM",6
"Crown Point, IN",6
"Rancho Santa Margarita, CA",6
"Abergavenny, Wales, Wales",6
"Edmonds, WA",6
"Canyon Country, CA",6
"Ponte Vedra Beach, FL",6
"Saint Pete, FL",6
"Bridgewater, MA",6
"Waterloo, IA",6
"Risca, Wales, Wales",6
"Mississauga Valley, ON",6
"Fremont, NE",6
Clontarf,6
"San Leandro, CA",6
"Santa Maria, CA",6
"Saint Charles, IL",6
"Moses Lake, WA",6
Mewat,6
"Bensalem, PA",6
"Llandrindod Wells, Wales, Wales",6
Nantes,5
"North Kansas City, MO",5
Salt Lake City,5
"Mountain Home, AR",5
"North Brunswick, NJ",5
"San Pablo, CA",5
"Pennsauken, NJ",5
"Saint Thomas, ON",5
"Sanford, NC",5
"Saint Leonards-on-Sea, England, England",5
"Portstewart, Northern Ireland, Northern Ireland",5
"Salem, MA",5
"Lower Holloway, England, England",5
"Sandwell, England, England",5
"Mill Creek, WA",5
"Linthicum, MD",5
"Wattisham, England, England",5
"Montebello, CA",5
Petaẖ Tiqwa,5
"Salisbury, MD",5
"Battle Ground, WA",5
"Shoreline, WA",5
"Vasai, Maharashtra, Maharashtra",5
"Mukilteo, WA",5
"Rockville Centre, NY",5
"Watsonville, CA",5
"Wadebridge, England, England",5
"Wausau, WI",5
Glen Waverley,5
"Wallisellen, Zürich",5
"Fenton, MI",5
"Fenton, MO",5
"West Pennant Hills, New South Wales",5
"Milton, WA",5
"Mount Dora, FL",5
"Elephant & Castle, England, England",5
"Lake Saint Louis, MO",5
"University Center, MI",5
"Wappingers Falls, NY",5
"Kenton, London, England, England",5
"Montclair, NJ",5
Bandar Seri Begawan,5
"Saltney, Wales, Wales",5
"Fort Stewart, GA",5
"Upper Holloway, England, England",5
"Broughton, Wales, Wales",5
"Mountain Ash, Wales, Wales",5
Odesa,5
"Rahway, NJ",5
"Chesaning, MI",5
"Rocky Mount, VA",5
"Victoria, TX",5
"Kentish Town, England, England",5
"Cheektowaga, NY",5
"Owasso, OK",5
"Mountain View, Buncombe, NC, Optional[NC]",5
"Newcastle, WA",5
"Campbelltown, New South Wales, New South Wales",5
"Wenatchee, WA",5
"Montevallo, AL",5
"Salina, KS",5
"Wake Forest, NC",5
"University Place, WA",5
"Huntingdon, PA",5
"Canton, GA",5
"San Fernando, CA",5
"Kirkwall, Scotland, Scotland",5
"Olympic Park, New South Wales",5
"Atlantic Beach, FL, Optional[FL]",5
"Bountiful, UT",5
"Warrendale, PA",5
"Poynton, England, England",5
"Porthmadog, Wales, Wales",5
"Asuncion, Central, Central",5
"Pembroke, Wales, Wales",5
"Montréal, QC",5
"Ammanford, Wales, Wales",5
"Snoqualmie, WA",5
"Wantage, England, England",5
"Montgomery, IL",5
"Oak Harbor, WA",5
Bhetasi Ba Bhag,5
"Welshpool, Wales, Wales",5
"Washington, MO",5
"Denton, North West England, England, England",5
"San Dimas, CA",5
Saket,5
Wantirna,4
Markt Taschendorf,4
"Saint George, UT",4
San Miguel de Tucumán,4
"Āsansol, West Bengal, West Bengal",4
"Lighthouse Point, Broward, FL, Optional[FL]",4
"Northeast Center, NY",4
"Oxley, Queensland, Queensland",4
"Punta Gorda, FL",4
"Walton upon Thames, England, England",4
Bursa,4
"Ottawa, IL",4
"Pewaukee, WI",4
"Tinton Falls, NJ",4
"Rancho San Diego, CA",4
Tin Shui Wai,4
"Walla Walla, WA",4
"Pointe-Claire, QC",4
"Sakai, Osaka, Osaka",4
"Washington, PA",4
"Rixensart, Walloon Brabant",4
"Odenton, MD",4
"West Bedfont, England, England",4
"Rogerstone, Wales, Wales",4
"Sandy Hook, CT",4
"Belmont, MA",4
Antalya,4
"Queensferry, Wales, Wales",4
"Stornoway, Scotland, Scotland",4
"New Kent, VA",4
"Warwick, North West England, England, England",4
"Saint Catharines, ON",4
"Quantico, VA",4
"Alamosa, CO",4
"Monmouth, Wales, Wales",4
"Arlington, WA",4
"Saltburn-by-the-Sea, England, England",4
Bayswater,4
"Arkansas City, KS",4
"Sandestin, FL",4
"Clinton, IA",4
"Faisalābād, Punjab, Punjab",4
"Saratoga, CA",4
Warangal,4
"El Sobrante, CA",4
"Paramount, CA",4
"Front Royal, VA",4
"Walled Lake, MI",4
Saarbrücken,4
"South Salt Lake, UT",4
"Caldicot, Wales, Wales",4
"San Juan Capistrano, CA",4
"Calabasas, CA",4
"Wolstanton, England, England",4
"Waterville, ME",4
"Centerville, OH",4
"Huntersville, NC",4
Voluntari,4
"Nelson, Tasman",4
"Santo André, São Paulo, São Paulo",4
Santa Cruz de Tenerife,4
"Cremorne, New South Wales, New South Wales",4
Osasco,4
"Fort Saskatchewan, AB",4
"Corinth, TX",4
"Saint-Hyacinthe, QC",4
Alicante,4
"Bluewater, AZ",4
"Eltham, Victoria, Victoria",4
"Duvall, WA",4
"Cheltenham, Victoria, Victoria",4
"Watertown, MA",4
"Mount Prospect, IL",4
"Elmont, NY",4
"Saint Joseph, MI",4
"Saltash, England, England",4
"Kumasi, Ashanti, Ashanti",4
"Santee, CA",4
"Leuven, Flemish Brabant",4
"Mount Vernon, WA",4
"Burwood, New South Wales, New South Wales",4
"Trenton, ON",4
"Staunton, VA",4
"Ottumwa, IA",4
"Wincanton, England, England",4
Jolimont,4
"Mount Pleasant, England, England",4
"Sweetwater, TX",4
Unterschleißheim,4
"North Cornelly, Wales, Wales",4
Taren Point,4
Viçosa do Ceará,4
"Porthcawl, Wales, Wales",4
"Pembroke Dock, Wales, Wales",4
"Morgantown, PA",4
"San Antonio, FL",4
"Mount Airy, MD",4
Guntūr,4
"Mount Juliet, TN",4
"Washington Court House, OH",4
"Far Rockaway, NY",4
"Covington, WA",4
"Connahs Quay, Wales, Wales",4
Antananarivo,4
"Porth, Wales, Wales",4
"Wasilla, AK",4
"Pensacola Beach, FL",4
"Silverdale, WA",4
"Cheney, WA",4
"Uppsala, Uppsala, Uppsala",3
Warszawice,3
"South San Jose Hills, CA",3
"Swartz Creek, MI",3
"Union Gap, WA",3
"Enterprise, AL",3
Powa,3
"Sandy Springs, GA",3
"Nantgarw, Wales, Wales",3
"Waite Park, MN",3
"San Fernando, Pampanga, Pampanga",3
"Odessa, FL",3
"Sachse, TX",3
Baleshwar,3
"Fontwell, England, England",3
"Salo, Western Finland, Western Finland",3
"Tsawwassen, BC",3
"Downtown Crossing, MA",3
"Stanway, England, England",3
"Liberty Lake, WA",3
"Saltcoats, Scotland, Scotland",3
"Wareham, England, England",3
"North Sacramento, CA",3
"Shelton, WA",3
"Mount Arlington, NJ",3
"Bonney Lake, WA",3
"Burwood, Victoria, Victoria",3
"Sandown, England, England",3
"Warminster, PA",3
"San Lorenzo, CA",3
"Walpole, MA",3
"Washington, IL",3
"Huntington Station, NY",3
"Salem, VA",3
"Walker, LA",3
"Lake Stevens, WA",3
"Linthicum Heights, MD",3
"Azusa, CA",3
"Penarth, Wales, Wales",3
"East Point, GA",3
"Fountain Hills, AZ",3
"Pleasantville, NY",3
"Montréal-Est, QC",3
"Little Chalfont, England, England",3
"Ponte Vedra, FL",3
"Llanishen, Cardiff, Wales, Wales",3
"Merthyr, Wales, Wales",3
"Makati, Mindoro Occidental, Mindoro Occidental",3
"Frontenac, MO",3
"West Point, PA",3
"Saltford, England, England",3
Novi Sad,3
"Mount Morris, MI",3
"Mechelen, Antwerpen",3
"Wallingford, CT",3
"Wauconda, IL",3
"North Wales, PA",3
"Sanger, TX",3
"Lemont, IL",3
"Braddon, Australian Capital Territory",3
"Alsager, England, England",3
"Watertown, SD",3
"Winterthur, Zürich",3
"Canton, NY",3
"Walnut Ridge, AR",3
"Waynesville, MO",3
"Massapequa, NY",3
"Seat Pleasant, MD",3
"Pataskala, OH",3
"La Puente, CA",3
"Claremont, NH",3
"Almont, MI",3
"Warrenton, VA",3
Santry,3
"Canton, TX",3
"Perth, Tasmania, Tasmania",3
Nunawading,3
"Moorebank, New South Wales",3
"Patchway, England, England",3
"Manteno, IL",3
"Saint Albans, VT",3
"Eagle Mountain, UT",3
"Central, TX",3
"Saxmundham, England, England",3
"Pleasanton, TX",3
"Huntington, IN",3
"Edgewater, NJ",3
"Bryant, AR",3
"Piedmont, SC",3
Fontainebleau,3
"Pasay, Pasay, Pasay",3
"Clinton, CT",3
"Saint Johns, FL",3
"Burien, WA",3
"North Tonawanda, NY",3
"Corinth, MS",3
"Mount Barker, South Australia, South Australia",3
"Monticello, IN",3
"Treforest, Wales, Wales",3
"Criciúma, Santa Catarina, Santa Catarina",3
"San Jacinto, CA",3
"Milford Haven, Wales, Wales",3
"Salmon Arm, BC",3
Minto,3
"Benton, AR",3
"Claymont, DE",3
"Santa Fe Springs, Los Angeles, CA, Optional[CA]",3
Noosaville,3
"Burlington, WA",3
"Port Saint Joe, FL",3
"Louvain-la-Neuve, Walloon Brabant",3
"Sayre, PA",3
"South Cornelly, Wales, Wales",3
"Salyersville, KY",3
"Agawam, MA",3
"Hammonton, NJ",3
"Painted Post, NY",3
"Saint Albans, NY",3
"Saukville, WI",3
"Abergele, Wales, Wales",3
Kinshasa,3
"Linton, IN",3
Polokwane,3
"Kewanee, IL",3
San Nicolás de los Garza,3
"Pagosa Springs, CO",3
"Galloway, NJ",3
"Canton, MA",3
"Sausalito, CA",3
"Washington, NC",3
"Polmont, Scotland, Scotland",3
San Fernando,3
"Nusa Dua, Bali, Bali",3
"Larchmont, NY",3
"Montrose, CO",3
"Mount Vernon, IL",3
"Whitewater, WI",3
"Brooklyn Center, MN",3
"Lackawanna, NY",3
"Blackwater, Hampshire, South East England, England, England",3
"Cantonment, FL",3
"Ritzville, WA",3
"Rosemount, MN",3
Walvis Bay,3
"Toronto, KS",3
"Pontotoc, MS",3
Santiago de Compostela,3
"Swansea, MA",3
Brunswick,3
"Clarence Center, NY",3
"Tenterden, England, England",3
"Saint-Ouen, Ile-de-France, Ile-de-France",3
"Broadmeadows, Victoria, Victoria",3
Bhiwandi,3
"Penticton, BC",3
"Southeast Owasco, NY",3
"Camas, WA",3
"Sanger, CA",3
"Kenmore, WA",3
"Denton, MD",3
"Ampang, Selangor Darul Ehsan, Selangor Darul Ehsan",3
"Twentynine Palms, CA",3
"Gladstone, Queensland, Queensland",3
"Crescent City, CA",3
"Bayswater North, Victoria",3
"Mount Kisco, NY",3
Port Said,3
"Walterboro, SC",3
"Yellowknife, NT",3
"Monument, CO",3
Shinagawa,3
"Owatonna, MN",3
Montego Bay,3
"Waxahachie, TX",3
"Mantua, OH",3
"Saint Albans, WV",3
"San Diego, TX",3
"Tri Cities, WA",3
Marsa,3
"Odessa, MO",3
Toronto,3
"Wallaceburg, ON",3
"Saltillo, Coahuila, Coahuila",3
"Lindsay, ON",3
"Swaffham, England, England",3
"South Beach, Wales, Wales",3
"Howard Beach, NY",3
Silvassa,3
"Barranquilla, Atlántico, Atlántico",3
"Croydon, Victoria, Victoria",3
"Walsgrave on Sowe, England, England",3
"Byron Center, MI",3
"Matawan, NJ",3
"Baglan, Wales, Wales",3
"Trenton, MI",3
"Cowbridge, Wales, Wales",3
"Mount Holly, NC",2
"Swift Current, SK",2
Newark,2
"Huntsville, ON",2
"Dowagiac, MI",2
"Toronto, TX",2
"Buntingford, England, England",2
"Shawano, WI",2
"Neepawa, MB",2
"Saint Annes on the Sea, England, England",2
"Tramore, Waterford, Waterford",2
Pimpri-Chinchwad,2
"Amlwch, Wales, Wales",2
"Sallisaw, OK",2
"Montville, CT",2
Entebbe,2
"Belmont, NC",2
"Ellensburg, WA",2
"Carneys Point, NJ",2
"Balsall Common, England, England",2
"Stormont, Northern Ireland, Northern Ireland",2
"Brant, ON",2
Lahore Cantonment,2
"Waterdown, ON",2
"Mount Vernon, OH",2
"Antelope, CA",2
"Santa Ana Pueblo, NM",2
"Chehalis, WA",2
"Cleveland, Queensland, Queensland",2
"Montgomery Village, MD",2
"Conwy, Wales, Wales",2
"Walton, KY",2
Centurion,2
"Saanichton, BC",2
"Beaumont, CA",2
"Waterbeach, England, England",2
"Valley Center, CA",2
"Sackville, NB",2
"West Perth, Western Australia",2
"Wakefield, RI",2
"Yelm, WA",2
General Santos,2
"Fort Wainwright, AK",2
"Mount Crawford, VA",2
"Boonton, NJ",2
"Washingto Township, OH",2
"Dolgellau, Wales, Wales",2
"Wetaskiwin, AB",2
"Salem, MO",2
"San Isidro, Heredia, Heredia",2
"Taylors Lakes, Victoria",2
"Braine-l'Alleud, Walloon Brabant",2
"Tlalnepantla, México, México",2
San Tan Valley,2
"Ottawa, OH",2
"Conway, SC",2
Nagawara,2
"Huntington Park, Los Angeles, CA, Optional[CA]",2
"Cardiff university Queens Buildings, Wales, Wales",2
"Denbigh, Wales, Wales",2
"Montrose, PA",2
Sandakan,2
"Zillah, WA",2
"Salzburg, Salzburg",2
"Ban Dôngbang, Vientiane Prefecture, Vientiane Prefecture",2
"Mountain Top, PA",2
"Clinton, MA",2
"Banjarmasin, South Kalimantan, South Kalimantan",2
"Port Washington, NY",2
Sanā',2
"Wallace, NC",2
"Mount Horeb, WI",2
"KenTownshipood, MI",2
"Center Point, AL",2
"Medway, MA",2
"Ahwatukee, AZ",2
Santiago del Estero,2
"Chesapeake Beach, VA",2
"Norwalk, OH",2
"Trentham, England, England",2
"Hythe, Kent, South East England, England, England",2
"Sturtevant, WI",2
"Town and Country, MO",2
"Mount Sinai, NY",2
"Center, TX",2
"Wall Township, NJ",2
Casalnuovo di Napoli,2
"Monticello, IL",2
"Moss Point, MS",2
"Pontyclun, Wales, Wales",2
"Saint Kilda, South Australia, South Australia",2
"Treharris, Wales, Wales",2
"Cremorne, Victoria, Victoria",2
"Tonyrefail, Wales, Wales",2
"Etāwah, Uttar Pradesh, Uttar Pradesh",2
